"dates","PAR.avg10","PAR.samplingdate","Temp.1m","Temp.mean","Sal.1m","Sal.mean","Density.1m","Density.mean","Nitr.1m","Nitr.mean","Phos.1m","Phos.mean","TotP.1m","TotP.mean","Si.1m","Si.mean","Chla.1m","Chla.mean","Fluo.1m","Fluo.mean","Nanoalgae","Picoalgae","Bacteria","Synechococcus","Total.virus","Virus1","Virus2","Virus3","Large.virus(2+3)","Secchi","Light.1%","Zmix","daylength"
2009-09-22,25,15.9,15.5,15.7,25.3,26.7,18.4,19.5,0.66,0.43,0.06,0.04,0.69,0.68,2.08,1.54,2.76,1.73,2.61,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,10,20,12.2
2009-10-20,12.9,7,11.8,13.5,31.4,33.3,23.9,25.1,4.44,4.31,0.11,0.11,0.81,0.81,5.47,4.73,0.6,0.49,1.21,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,26,1,9.8
2009-11-17,1.8,1.4,6.9,7.5,19.1,21.8,13,15.4,5,5,0.48,0.48,0.98,0.98,3.91,3.91,0.13,0.13,2.06,1.29,629,1160,775000,2160,43051076.6666667,41133316.6666667,1691776.66666667,225983.333333333,1917760,8.5,19.8,6,7.5
2009-12-09,1.3,0.8,5.6,6.3,22.9,26,18.1,20.5,8.92,6.85,0.45,0.45,1.13,1.09,14.71,10.38,0.62,0.59,0.75,0.69,293,217,655000,390,19549945.8333333,18277487.5,1159775,112683.333333333,1272458.33333333,NA,10.5,4.8,6.2
2010-01-21,2.2,1.2,-1.3,-0.1,24.2,26.9,19.4,21.6,0.64,0.89,0.45,0.19,0.94,1.08,1.05,0.8,7.71,6.16,3.31,2.51,1040,1560,609000,475,15477505,14830325,600650,46530,647180,4,12.5,3.4,7.2
2010-02-14,7.9,8.5,-0.7,-0.7,23.1,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.11,NA,2.03,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4
2010-03-11,18.6,15,5.3,6.2,32.8,33.5,25.9,26.4,5.43,5.75,0.62,0.66,0.96,0.91,5.21,4.71,2.49,2.35,1.46,1.45,168,182,807000,249,7320915,6701500,534915,84500,619415,9.5,30,15.5,11.3
2010-04-13,26.1,40.7,5.8,4.3,24.8,27.8,19.6,22.1,2.93,2.43,0.19,0.17,0.23,0.22,6.62,4.08,2.33,2.28,1.25,1.1,2090,351,1480000,1610,35796066.6666667,33338987.5,2247162.5,209916.666666667,2457079.16666667,7,19,3.8,14.3
2010-05-11,38.1,53,7.7,6.8,26.3,28.7,20.5,22.5,1.13,0.68,0.06,0.06,0.39,0.37,2.72,1.97,1.63,1.49,1.29,1.18,1180,37100,2780000,1120,33782525,31532287.5,1902450,347787.5,2250237.5,5,14.5,7.9,16.6
2010-06-23,51.6,59.6,14.9,12.9,22.2,27.3,16.1,20.5,0.14,0.15,0.11,0.08,0.36,0.36,3.03,3,0.38,0.39,1.22,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,18.5,12.5,18.4
