"dates","data","values"
"Apr10","PAR.avg10",26.1
"Apr10","Nanoalgae",2.09
"Apr10","Picoalgae",0.351
"Apr10","Bacteria",1.48
"Apr10","Total.virus",3.57960666666667
"Apr11","PAR.avg10",27.9
"Apr11","Nanoalgae",1.12
"Apr11","Picoalgae",4.04
"Apr11","Bacteria",1.2
"Apr11","Total.virus",3.153831875
"Aug10","PAR.avg10",32.9
"Aug10","Nanoalgae",3.9
"Aug10","Picoalgae",6.07
"Aug10","Bacteria",1.21
"Aug10","Total.virus",2.5675835
"Dec09","PAR.avg10",1.3
"Dec09","Nanoalgae",0.293
"Dec09","Picoalgae",0.217
"Dec09","Bacteria",0.655
"Dec09","Total.virus",1.95499458333333
"Dec10","PAR.avg10",2.3
"Dec10","Nanoalgae",0.142
"Dec10","Picoalgae",0.415
"Dec10","Bacteria",0.512
"Dec10","Total.virus",1.07833258333333
"Feb10","PAR.avg10",7.9
"Feb10","Nanoalgae",NA
"Feb10","Picoalgae",NA
"Feb10","Bacteria",NA
"Feb10","Total.virus",NA
"Feb11","PAR.avg10",7.5
"Feb11","Nanoalgae",1.47
"Feb11","Picoalgae",1.01
"Feb11","Bacteria",0.462
"Feb11","Total.virus",1.52551916666667
"Jan10","PAR.avg10",2.2
"Jan10","Nanoalgae",1.04
"Jan10","Picoalgae",1.56
"Jan10","Bacteria",0.609
"Jan10","Total.virus",1.5477505
"Jan11","PAR.avg10",1.8
"Jan11","Nanoalgae",NA
"Jan11","Picoalgae",NA
"Jan11","Bacteria",NA
"Jan11","Total.virus",NA
"Jun10","PAR.avg10",51.6
"Jun10","Nanoalgae",NA
"Jun10","Picoalgae",NA
"Jun10","Bacteria",NA
"Jun10","Total.virus",NA
"Jun11","PAR.avg10",48.6
"Jun11","Nanoalgae",8.17
"Jun11","Picoalgae",8.14
"Jun11","Bacteria",1.6
"Jun11","Total.virus",2.094847
"Mar10","PAR.avg10",18.6
"Mar10","Nanoalgae",0.168
"Mar10","Picoalgae",0.182
"Mar10","Bacteria",0.807
"Mar10","Total.virus",0.7320915
"Mar11","PAR.avg10",15.2
"Mar11","Nanoalgae",0.209
"Mar11","Picoalgae",0.089
"Mar11","Bacteria",2.05
"Mar11","Total.virus",2.90506365
"May10","PAR.avg10",38.1
"May10","Nanoalgae",1.18
"May10","Picoalgae",37.1
"May10","Bacteria",2.78
"May10","Total.virus",3.3782525
"May11","PAR.avg10",43.8
"May11","Nanoalgae",NA
"May11","Picoalgae",NA
"May11","Bacteria",NA
"May11","Total.virus",NA
"Nov09","PAR.avg10",1.8
"Nov09","Nanoalgae",0.629
"Nov09","Picoalgae",1.16
"Nov09","Bacteria",0.775
"Nov09","Total.virus",4.30510766666667
"Nov10","PAR.avg10",4.2
"Nov10","Nanoalgae",0.305
"Nov10","Picoalgae",1.19
"Nov10","Bacteria",0.542
"Nov10","Total.virus",2.64506554166667
"Oct09","PAR.avg10",12.9
"Oct09","Nanoalgae",NA
"Oct09","Picoalgae",NA
"Oct09","Bacteria",NA
"Oct09","Total.virus",NA
"Oct10","PAR.avg10",13
"Oct10","Nanoalgae",0.255
"Oct10","Picoalgae",1.5
"Oct10","Bacteria",0.941
"Oct10","Total.virus",1.810235625
"Sep09","PAR.avg10",25
"Sep09","Nanoalgae",NA
"Sep09","Picoalgae",NA
"Sep09","Bacteria",NA
"Sep09","Total.virus",NA
"Sep10","PAR.avg10",24.7
"Sep10","Nanoalgae",0.742
"Sep10","Picoalgae",5.3
"Sep10","Bacteria",1.06
"Sep10","Total.virus",1.77966639285714
