"","Rownames","OTU_id","Sep09","Oct09","Nov09","Dec09","Jan10","Feb10","Mars10","Apr10","May10","June10","Aug10","Sep10","Oct10","Nov10","Dec10","Jan11","Feb11","Mars11","Apr11","May11","June11"
"1","OTU_1","OTU_1",2446,525,1426,1735,39,1,122,0,498,2652,960,1679,1646,2367,1594,362,11,0,0,0,86
"2","OTU_2","OTU_2",13,160,1989,605,1437,1126,0,13,85,120,156,371,285,84,272,476,435,496,1144,3171,34
"3","OTU_3","OTU_3",244,113,165,173,1503,675,2092,31,112,136,328,98,243,388,800,1455,1106,33,44,929,123
"4","OTU_4","OTU_4",0,0,0,0,161,40,477,4294,298,0,0,0,0,47,128,140,159,2020,373,0,0
"5","OTU_5","OTU_5",0,0,0,21,414,1035,280,564,520,0,0,0,0,0,0,756,925,1081,2097,0,187
"6","OTU_6","OTU_6",326,217,55,35,214,762,0,0,117,150,161,217,29,38,160,366,137,425,662,1086,2308
"7","OTU_7","OTU_7",0,0,0,0,0,73,842,145,189,0,0,0,0,11,238,611,729,1257,1056,0,0
"8","OTU_8","OTU_8",9,176,142,64,31,1,79,457,2732,34,5,1,22,106,199,169,28,6,5,53,4
"9","OTU_9","OTU_9",280,402,803,923,0,0,0,0,189,57,413,306,882,329,265,0,0,0,0,0,0
"10","OTU_10","OTU_10",0,0,0,0,151,0,208,0,0,243,164,488,146,241,414,181,0,0,0,0,1544
"11","OTU_11","OTU_11",766,482,497,170,0,0,181,0,38,274,269,0,353,176,77,42,216,0,0,0,0
"12","OTU_12","OTU_12",0,0,0,105,48,150,0,0,84,0,0,0,17,142,125,42,1163,0,0,154,0
"13","OTU_13","OTU_13",155,725,114,470,20,0,0,0,0,68,109,166,119,171,53,16,0,0,0,0,0
"14","OTU_14","OTU_14",0,0,9,0,412,751,573,0,0,53,0,0,0,0,42,152,140,5,0,1,262
"15","OTU_15","OTU_15",28,622,46,98,466,292,16,0,0,0,7,28,26,5,68,97,21,0,0,0,34
"16","OTU_16","OTU_16",30,69,3,31,0,0,0,0,0,0,183,214,548,140,15,93,178,5,4,0,0
"17","OTU_17","OTU_17",86,0,28,482,36,0,0,0,0,17,107,64,183,14,82,164,0,0,0,0,104
"18","OTU_18","OTU_18",222,161,0,293,0,15,0,0,0,0,110,94,187,251,24,5,0,2,8,0,0
"19","OTU_19","OTU_19",0,6,3,20,0,0,19,0,4,49,357,417,0,37,43,40,60,0,0,0,0
"20","OTU_20","OTU_20",54,11,0,0,0,0,0,0,33,626,225,91,28,184,8,0,0,0,0,0,0
"21","OTU_21","OTU_21",0,0,0,0,17,14,48,0,468,0,0,0,36,26,0,62,61,6,0,5,49
"22","OTU_22","OTU_22",3,197,0,44,0,0,96,0,0,0,1,3,41,152,181,7,0,0,0,0,0
